Unnamed: 0,dim1,dim2,dim3,phase,library
SRR11286580,0.33564055,-0.94150573,0.030209301,G1,U2OS
SRR11286581,0.12818393,-0.91558385,0.3811497,G1,U2OS
SRR11286582,0.5300897,0.07476342,0.8446392,S,U2OS
SRR11286583,0.1513539,0.36036444,0.92045075,G2M,U2OS
SRR11286584,-0.42418352,0.64187,-0.6388044,G1-G0 transition,U2OS
SRR11286585,0.8292742,0.10018593,0.54978836,G2M,U2OS
SRR11286586,-0.05904703,-0.7504279,0.6583093,G2M,U2OS
SRR11286587,0.79977024,0.27318895,0.53454226,G2M,U2OS
SRR11286590,-0.053760063,-0.9168703,-0.39554858,G1,U2OS
SRR11286593,0.2945445,-0.39804077,0.8687964,G2M,U2OS
SRR11286594,0.91249216,-0.11062477,-0.39385307,S,U2OS
SRR11286595,0.9487067,0.21227384,0.23429777,S,U2OS
SRR11286596,0.8234542,0.34982175,-0.44670787,S,U2OS
SRR11286597,0.90960866,0.07032957,0.4094701,G2M,U2OS
SRR11286599,0.029152803,-0.54518914,-0.8378061,G1,U2OS
SRR11286600,0.124055795,0.035201415,0.9916506,G2M,U2OS
SRR11286601,0.5516579,-0.7823468,-0.28914887,G1,U2OS
SRR11286602,0.8860456,0.46168643,0.042056937,S,U2OS
SRR11286603,0.7306321,0.19745263,0.6535972,S,U2OS
SRR11286604,0.17015138,-0.9824702,-0.076162755,G1,U2OS
SRR11286605,0.9615624,0.15543747,0.2263555,S,U2OS
SRR11286606,0.805132,0.34492123,0.48248518,S,U2OS
SRR11286607,0.103677444,-0.994492,-0.015381448,G1,U2OS
SRR11286608,0.48065558,0.041513547,0.8759261,S,U2OS
SRR11286609,0.06734111,-0.87986225,-0.47043332,G1,U2OS
SRR11286610,-0.20774733,-0.4419039,0.87267524,G2M,U2OS
SRR11286611,0.9738321,0.22701217,0.010788615,S,U2OS
SRR11286613,0.10801476,-0.40852997,0.9063311,G2M,U2OS
SRR11286614,0.9703671,-0.18964192,0.14974546,G2M,U2OS
SRR11286615,-0.055332255,-0.6260354,0.777829,G2M,U2OS
SRR11286616,0.40092593,-0.4741897,0.7838384,G2M,U2OS
SRR11286617,0.2873194,-0.9256274,-0.24629551,G1,U2OS
SRR11286618,0.9884865,0.08350873,0.12617691,S,U2OS
SRR11286619,0.4834456,0.13397306,0.86506164,G2M,U2OS
SRR11286620,0.83217084,0.50777376,0.2228397,S,U2OS
SRR11286621,-0.25510755,-0.94214743,-0.21743609,G1,U2OS
SRR11286622,0.8381408,0.54444534,-0.03315583,S,U2OS
SRR11286623,0.72631913,-0.4464005,-0.52267313,G1,U2OS
SRR11286624,-0.1545306,-0.5842279,0.7967421,G2M,U2OS
SRR11286625,0.6784992,-0.26003376,0.687038,G2M,U2OS
SRR11286626,-0.19933407,-0.2990571,0.93318313,G2M,U2OS
SRR11286628,-0.56205314,-0.3487065,-0.75000006,G1-G0 transition,U2OS
SRR11286629,0.049016148,-0.06817142,-0.9964688,G1,U2OS
SRR11286630,0.22408108,-0.8810293,0.41662332,G2M,U2OS
SRR11286631,0.64383096,0.2636357,-0.718316,G1,U2OS
SRR11286633,0.925664,0.35915244,-0.11897759,S,U2OS
SRR11286634,0.4416425,-0.8910466,0.10482312,G1,U2OS
SRR11286635,0.6098242,0.13323265,0.7812577,G2M,U2OS
SRR11286636,0.97660136,0.18918948,0.10226026,S,U2OS
