cell_id,dim1,dim2,dim3,library,phase,fucci_time_hrs
SRR11286619,0.65825254,-0.6297749,-0.4124162,U2OS,G2M,16.938378
SRR11286620,0.82311547,0.027852442,-0.56719065,U2OS,S,9.740839
SRR11286621,-0.22756577,0.0873409959999999,0.9698377,U2OS,G1,2.924795
SRR11286622,0.6858135000000001,0.38648593,-0.6166754,U2OS,S,9.359344
SRR11286623,0.4073456,0.6892227,0.5992008000000001,U2OS,G1,3.81495
SRR11286624,0.21856317,-0.8438896,0.48998034,U2OS,G2M,19.07475
SRR11286625,0.89496344,-0.36772874,0.25261816,U2OS,G2M,18.362626000000002
SRR11286626,0.24240838,-0.9669966999999998,0.078456275,U2OS,G2M,21.389153
SRR11286628,-0.8231328000000001,0.33540517,0.45820943,U2OS,G1-G0 transition,4.120146
SRR11286629,-0.32866704,0.8932382,0.30676314,U2OS,G1,7.1721059999999985
SRR11286630,0.3070133,-0.42654064,0.8507678,U2OS,G2M,16.760347
SRR11286631,0.33956575,0.93070406,-0.13595928,U2OS,G1,5.8241570000000005
SRR11286633,0.84169126,0.46491554,-0.27460814,U2OS,S,12.131541
SRR11286634,0.4448497,-0.02290039,0.8953125,U2OS,G1,0.457794
SRR11286635,0.8755196,-0.43391663,-0.21256012,U2OS,G2M,16.912945
SRR11286636,0.94415116,0.21212378,-0.25215474,U2OS,S,11.69918
SRR11286638,0.8281605,-0.49473026,-0.26342392,U2OS,G2M,21.770648
SRR11286639,0.5608920999999999,-0.31712914,0.76474124,U2OS,G2M,18.006563999999994
SRR11286640,0.29591998,-0.91088253,0.28761837,U2OS,G2M,18.922152
SRR11286641,-0.69393504,0.60579646,-0.389185,U2OS,G1-G0 transition,9.130447
SRR11286642,0.8057623,0.55683506,-0.2016975,U2OS,S,9.868003999999999
SRR11286643,0.20055845,-0.7480544,0.63260645,U2OS,G2M,17.040110000000002
SRR11286644,0.0072629075,-0.7637672,0.64545083,U2OS,G2M,17.904832
SRR11286645,0.88373125,-0.44718245,-0.1380108,U2OS,G2M,21.948679000000002
SRR11286647,0.6405149,0.74816686,0.17316744,U2OS,S,11.470283
SRR11286649,0.91432375,0.30387214,-0.26771998,U2OS,S,12.97083
SRR11286650,0.22087476,0.7554363000000001,0.6168713,U2OS,G1,4.527074
SRR11286651,0.14990212,0.7198405999999999,0.6777601,U2OS,G1,3.865816
SRR11286652,0.42885584,-0.6990303000000001,0.5722232,U2OS,G2M,21.083957
SRR11286653,-0.044819906,0.19071689,0.9806213,U2OS,G1,3.3825890000000003
SRR11286654,0.7214555,0.6015708000000001,-0.34294978,U2OS,S,10.478396
SRR11286656,0.93612665,0.34004053,0.0896622,U2OS,S,13.047129
SRR11286657,0.37980992,-0.82742745,0.41365254,U2OS,G2M,22.203008999999998
SRR11286658,0.44952238,0.34392878,0.8244045,U2OS,G1,3.6369190000000002
SRR11286659,0.90096605,0.41469675,-0.12761903,U2OS,S,10.68186
SRR11286661,0.543992,-0.71305656,0.44229284,U2OS,G2M,17.599636
SRR11286662,0.2471621,-0.81325895,0.52680254,U2OS,G2M,18.693254999999997
SRR11286663,0.8751085,-0.4097467000000001,0.25747398,U2OS,G2M,20.473565
SRR11286664,-0.8619440999999999,0.15783885,-0.48180842,U2OS,G1-G0 transition,5.518961
SRR11286665,-0.027743083999999998,0.6584248,0.752135,U2OS,G1,3.9421150000000003
SRR11286666,0.54708844,-0.6972049,0.46324888,U2OS,G2M,19.379946
SRR11286667,-0.18844397,0.96619767,0.17592856,U2OS,G1,4.476208
SRR11286668,0.98748267,-0.09204901,-0.12808181,U2OS,S,12.945397
SRR11286669,0.5770232,0.66780096,0.47019783,U2OS,G1,6.129353
SRR11286670,0.94795936,-0.22317183,-0.22708447,U2OS,S,13.276026000000002
SRR11286671,0.4495193,0.85333323,0.2641115,U2OS,G1,5.290064
