,Feature,Class,AbsoluteSHAPValue
310,ARHGEF3,G0,0.00021248793178389722
311,ARHGEF3,G1,0.0006690709990209977
312,ARHGEF3,G1-G0 transition,0.0006014936561281034
313,ARHGEF3,G2M,0.00030769939594528175
314,ARHGEF3,S,0.00030623791036025913
315,ARHGEF39,G0,0.0005099753567466824
316,ARHGEF39,G1,0.0006706964950766121
317,ARHGEF39,G1-G0 transition,0.0007110116623240075
318,ARHGEF39,G2M,0.00022017745385807962
319,ARHGEF39,S,0.0005022749783495893
320,ARID5B,G0,0.002642671728722653
321,ARID5B,G1,0.002014873674293331
322,ARID5B,G1-G0 transition,0.009096725898169988
323,ARID5B,G2M,0.0014951697563213285
324,ARID5B,S,0.0017084819731512729
325,ARL6IP1,G0,0.0010652081155037528
326,ARL6IP1,G1,0.001629072285035225
327,ARL6IP1,G1-G0 transition,0.0008968192791103226
328,ARL6IP1,G2M,0.0007457950561474584
329,ARL6IP1,S,0.0013307491677824633
330,ARL6IP6,G0,0.00039176608547660414
331,ARL6IP6,G1,0.0006588044651675205
332,ARL6IP6,G1-G0 transition,0.0005449402559639258
333,ARL6IP6,G2M,0.00025662742580472193
334,ARL6IP6,S,0.00037122085375769015
335,ARMH1,G0,0.0002580071645981044
336,ARMH1,G1,0.000545866864277096
337,ARMH1,G1-G0 transition,0.0006747388837583889
338,ARMH1,G2M,0.00018337550284017317
339,ARMH1,S,0.00030029539587986785
340,ARRDC3,G0,0.0003893862057281597
341,ARRDC3,G1,0.0005968222130761885
342,ARRDC3,G1-G0 transition,0.001038080245094416
343,ARRDC3,G2M,0.0002483772896007665
344,ARRDC3,S,0.0004497037438798391
345,ARSG,G0,0.000214151471844779
346,ARSG,G1,0.0007018999930045475
347,ARSG,G1-G0 transition,0.0005555574395794988
348,ARSG,G2M,0.00025786677846231006
349,ARSG,S,0.000367102059131318
350,ART5,G0,0.0
351,ART5,G1,0.0
352,ART5,G1-G0 transition,0.0
353,ART5,G2M,0.0
354,ART5,S,0.0
355,ASCL2,G0,0.0002591248969273191
356,ASCL2,G1,0.0006240969054797804
357,ASCL2,G1-G0 transition,0.0006001584327905468
358,ASCL2,G2M,0.00016683310912655035
359,ASCL2,S,0.0002663805345361494
360,ASGR1,G0,0.0004264455780884814
361,ASGR1,G1,0.0006539933427754274
362,ASGR1,G1-G0 transition,0.0006306554073365851
363,ASGR1,G2M,0.00022445518421222686
364,ASGR1,S,0.0002730161072744954
365,ASIC2,G0,0.00024424931666726835
366,ASIC2,G1,0.0005488654349330901
367,ASIC2,G1-G0 transition,0.0005769587797717898
368,ASIC2,G2M,0.0002148515227007985
369,ASIC2,S,0.00023020104870891632
370,ASIC3,G0,0.0004571735252165951
371,ASIC3,G1,0.0006914724065293991
372,ASIC3,G1-G0 transition,0.0008804895852744266
373,ASIC3,G2M,0.0001823000457495824
374,ASIC3,S,0.00029410310288786705
375,ASIP,G0,0.00017833793771324994
376,ASIP,G1,0.000587721674041034
377,ASIP,G1-G0 transition,0.00046359015525605654
378,ASIP,G2M,0.000197326940632825
379,ASIP,S,0.0001920479688228795
380,ASPM,G0,0.0008743688242083131
381,ASPM,G1,0.0014218617163812028
382,ASPM,G1-G0 transition,0.004055416619109867
383,ASPM,G2M,0.0026145617160186073
384,ASPM,S,0.0007571999237483494
385,ASXL3,G0,0.0003250635032636631
386,ASXL3,G1,0.0006080644529049162
387,ASXL3,G1-G0 transition,0.0005394317026136376
388,ASXL3,G2M,0.0002678556168284214
389,ASXL3,S,0.00039607396710367377
390,ATAD2,G0,0.005611413338702133
391,ATAD2,G1,0.0037125929444878796
392,ATAD2,G1-G0 transition,0.0024233412498403484
393,ATAD2,G2M,0.0015252537515067868
394,ATAD2,S,0.004568653720705808
395,ATCAY,G0,0.0002570508098308695
396,ATCAY,G1,0.0005712485283832674
397,ATCAY,G1-G0 transition,0.0005671313597099068
398,ATCAY,G2M,0.00015235289103360245
399,ATCAY,S,0.0002891533086021253
400,ATF3,G0,0.0004087218213041657
401,ATF3,G1,0.0005909959775153624
402,ATF3,G1-G0 transition,0.0007593631445759452
403,ATF3,G2M,0.00022684796940099436
404,ATF3,S,0.00034377461507229743
405,AURKA,G0,0.004255870482050661
406,AURKA,G1,0.0013654065381866233
407,AURKA,G1-G0 transition,0.0063999153150659455
408,AURKA,G2M,0.0014356318504702948
409,AURKA,S,0.0013996740044101557
410,AURKB,G0,0.0025508101815618365
411,AURKB,G1,0.005071959897592857
412,AURKB,G1-G0 transition,0.005504044011040808
413,AURKB,G2M,0.0028457622318079994
414,AURKB,S,0.001634066086163814
415,AVIL,G0,0.0002947605916275571
416,AVIL,G1,0.0007124942070916314
417,AVIL,G1-G0 transition,0.0006192692470692543
418,AVIL,G2M,0.00025305474035182586
419,AVIL,S,0.00033213916466836094
420,AWAT2,G0,0.0002822574562983477
421,AWAT2,G1,0.0004788642134654693
422,AWAT2,G1-G0 transition,0.0006179336627075094
423,AWAT2,G2M,0.00019344198084290219
424,AWAT2,S,0.00035018139813721463
425,AXDND1,G0,0.0002543552415020668
426,AXDND1,G1,0.0006164172025835466
427,AXDND1,G1-G0 transition,0.0004623377516400714
428,AXDND1,G2M,0.00019983317513480893
429,AXDND1,S,0.00020154964390991096
430,AZIN2,G0,0.0002954011760060805
431,AZIN2,G1,0.0007015891319390782
432,AZIN2,G1-G0 transition,0.0005605847348524175
433,AZIN2,G2M,0.00016954225526992747
434,AZIN2,S,0.00030462479303185864
435,B3GALT1,G0,0.00019069280670451816
436,B3GALT1,G1,0.0006267410521406495
437,B3GALT1,G1-G0 transition,0.0005749921158412566
438,B3GALT1,G2M,0.00020628255535253538
439,B3GALT1,S,0.0002994507357078577
440,B3GALT2,G0,0.00028811395125162857
441,B3GALT2,G1,0.0007221445003813739
442,B3GALT2,G1-G0 transition,0.000620135238367622
443,B3GALT2,G2M,0.00015019477534160597
444,B3GALT2,S,0.0003574095915594548
445,BARX2,G0,0.00028521100449420064
446,BARX2,G1,0.0006675071586242559
447,BARX2,G1-G0 transition,0.0004990869984224904
448,BARX2,G2M,0.00019973005026362121
449,BARX2,S,0.000316842324512298
450,BCHE,G0,0.00018830103383556397
451,BCHE,G1,0.0006350851183874145
452,BCHE,G1-G0 transition,0.0005684729505786123
453,BCHE,G2M,0.0001614307522899727
454,BCHE,S,0.0002888307324684567
455,BCL11B,G0,0.0003274580452959802
456,BCL11B,G1,0.0007005775913927931
457,BCL11B,G1-G0 transition,0.0006512784709532188
458,BCL11B,G2M,0.0002529727164719146
459,BCL11B,S,0.0003361312267580321
460,BCL2L14,G0,0.0013239862203562555
461,BCL2L14,G1,0.0006358472324910299
462,BCL2L14,G1-G0 transition,0.0016979619493034358
463,BCL2L14,G2M,0.00017794719559957172
464,BCL2L14,S,0.00031576269546112606
465,BCL6,G0,0.0003201498544374111
466,BCL6,G1,0.000562476151574789
467,BCL6,G1-G0 transition,0.000640694618841913
468,BCL6,G2M,0.00019397724860119168
469,BCL6,S,0.000248828932308038
470,BCL6B,G0,0.00020114716152282066
471,BCL6B,G1,0.0005605862084671333
472,BCL6B,G1-G0 transition,0.0005666465408438989
473,BCL6B,G2M,0.00022014711351904827
474,BCL6B,S,0.0002571797267313571
475,BDH2,G0,0.0003137468967812463
476,BDH2,G1,0.0008369566224277593
477,BDH2,G1-G0 transition,0.0009009172379922053
478,BDH2,G2M,0.00022248972318177773
479,BDH2,S,0.0004433911289014504
